#BMP280 saadud andmed, mis tuleb vormistada CSV-failiks.

timestamp,temperature_C,pressure_hPa,altitude_m
2026-03-20 11:02:09,13.77,1001.49,98.35
2026-03-20 11:02:10,13.76,1000.71,104.90
2026-03-20 11:02:11,13.75,999.84,112.25
2026-03-20 11:02:13,13.74,999.06,118.84
2026-03-20 11:02:15,13.73,997.61,131.04
2026-03-20 11:02:18,13.73,996.00,144.61
2026-03-20 11:02:19,13.73,995.24,151.01
2026-03-20 11:02:20,13.75,994.51,157.17
2026-03-20 11:02:23,13.76,993.02,169.84
2026-03-20 11:02:25,13.77,991.56,182.20
2026-03-20 11:02:28,13.76,989.96,195.75
2026-03-20 11:02:29,13.77,989.08,203.22
2026-03-20 11:02:30,13.77,988.32,209.68
2026-03-20 11:02:33,13.77,986.56,224.60
2026-03-20 11:02:34,13.76,985.91,230.19
2026-03-20 11:02:37,13.74,985.36,234.80
2026-03-20 11:02:38,13.73,985.01,237.83
2026-03-20 11:02:40,13.69,984.48,242.30
2026-03-20 11:02:43,13.63,983.82,247.92
2026-03-20 11:02:45,13.60,983.41,251.49
2026-03-20 11:02:48,13.58,982.62,258.15
2026-03-20 11:02:51,13.57,981.96,263.86
2026-03-20 11:02:52,13.58,981.61,266.79
2026-03-20 11:02:54,13.57,981.18,270.49
2026-03-20 11:02:57,13.58,980.30,278.03
2026-03-20 11:02:59,13.56,979.20,287.39
2026-03-20 11:03:01,13.55,978.56,292.88
2026-03-20 11:03:02,13.53,977.91,298.47
2026-03-20 11:03:04,13.51,976.57,310.00
2026-03-20 11:03:07,13.50,975.18,321.86
2026-03-20 11:03:08,13.48,974.36,328.90
2026-03-20 11:03:09,13.47,973.68,334.79
2026-03-20 11:03:11,13.46,972.91,341.43
2026-03-20 11:03:13,13.38,971.21,356.02
2026-03-20 11:03:15,13.32,970.43,362.73
2026-03-20 11:03:17,13.14,969.48,370.98
2026-03-20 11:03:18,13.10,969.10,374.22
2026-03-20 11:03:20,13.08,968.75,377.29
2026-03-20 11:03:22,13.04,968.18,382.19
2026-03-20 11:03:25,12.98,967.53,387.82
2026-03-20 11:03:27,12.92,966.90,393.21
2026-03-20 11:03:30,12.88,966.31,398.37
2026-03-20 11:03:31,12.85,966.00,401.04
2026-03-20 11:03:32,12.83,965.58,404.65
2026-03-20 11:03:35,12.74,964.75,411.87
2026-03-20 11:03:37,12.69,963.77,420.31
2026-03-20 11:03:40,12.62,962.66,429.96
2026-03-20 11:03:42,12.55,962.38,432.39
2026-03-20 11:03:44,12.53,962.04,435.32
2026-03-20 11:03:46,12.48,962.04,435.39
2026-03-20 11:03:47,12.46,961.99,435.77
2026-03-20 11:03:50,12.41,962.00,435.70
2026-03-20 11:03:51,12.35,962.51,431.27
2026-03-20 11:03:54,12.56,963.52,422.52
2026-03-20 11:03:56,12.60,964.93,410.29
2026-03-20 11:03:59,12.63,966.38,397.72
2026-03-20 11:04:01,12.63,967.72,386.13
2026-03-20 11:04:04,12.61,969.12,374.10
2026-03-20 11:04:05,12.61,969.91,367.23
2026-03-20 11:04:08,12.60,971.29,355.39
2026-03-20 11:04:10,12.57,972.32,346.46
2026-03-20 11:04:13,12.56,973.64,335.12
2026-03-20 11:04:15,12.56,974.90,324.28
2026-03-20 11:04:18,12.55,976.07,314.29
2026-03-20 11:04:19,12.53,976.69,308.95
2026-03-20 11:04:21,12.54,977.99,297.79
2026-03-20 11:04:24,12.49,979.18,287.59
2026-03-20 11:04:26,12.48,980.28,278.21
2026-03-20 11:04:29,12.48,981.42,268.42
2026-03-20 11:04:32,12.48,982.55,258.77
2026-03-20 11:04:34,12.51,983.54,250.31
2026-03-20 11:04:35,12.50,983.98,246.56
2026-03-20 11:04:38,12.49,985.15,236.66
2026-03-20 11:04:40,12.51,986.32,226.65
2026-03-20 11:04:43,12.53,987.51,216.55
2026-03-20 11:04:44,12.55,988.04,212.03
2026-03-20 11:04:47,12.58,989.18,202.35
2026-03-20 11:04:49,12.60,990.38,192.15
2026-03-20 11:04:52,12.60,991.61,181.73
2026-03-20 11:04:54,12.60,992.78,171.82
2026-03-20 11:04:57,12.63,994.01,161.42
2026-03-20 11:04:58,12.65,994.64,156.11
2026-03-20 11:04:59,12.67,995.30,150.54
2026-03-20 11:05:02,12.64,996.78,138.02
2026-03-20 11:05:03,12.65,997.51,131.92
2026-03-20 11:05:06,12.64,998.97,119.57
2026-03-20 11:05:08,12.67,1000.54,106.36
2026-03-20 11:05:11,12.67,1002.24,92.05
2026-03-20 11:05:13,12.69,1003.92,77.96
2026-03-20 11:05:14,12.71,1004.75,70.98
2026-03-20 11:05:16,12.73,1005.65,63.48
2026-03-20 11:05:18,12.77,1007.38,48.95
2026-03-20 11:05:19,12.80,1008.31,41.24
2026-03-20 11:05:21,12.81,1009.22,33.60
2026-03-20 11:05:23,12.86,1010.88,19.78
2026-03-20 11:05:25,12.87,1011.07,18.16
2026-03-20 11:05:26,13.00,1011.07,18.15
2026-03-20 11:05:30,13.50,1011.07,18.15
2026-03-20 11:05:31,13.67,1011.09,17.97
2026-03-20 11:05:32,13.86,1011.08,18.09
2026-03-20 11:05:33,14.00,1011.03,18.51
2026-03-20 11:05:36,14.35,1011.03,18.52
2026-03-20 11:05:38,14.67,1011.03,18.48
2026-03-20 11:05:41,14.98,1011.01,18.65
2026-03-20 11:05:43,15.30,1011.03,18.54
2026-03-20 11:05:46,15.57,1011.00,18.74
2026-03-20 11:05:47,15.73,1011.05,18.35
2026-03-20 11:05:50,16.03,1011.02,18.59
2026-03-20 11:05:52,16.30,1011.01,18.64
2026-03-20 11:05:54,16.43,1011.00,18.75
2026-03-20 11:05:55,16.55,1011.01,18.69
